7417,64455,24657
77197,94457,29415
61392,80176,92893
14001,47182,86160
48388,2525,25345
40326,85982,61197
59914,50045,80651
68507,47102,60878
41000,21572,33339
54050,82148,16174
64966,27966,77114
78250,45480,54222
2598,52500,2901
67122,90116,93703
15834,41813,69979
24011,25879,90544
49438,7151,85292
99359,1000,92058
81608,92582,88978
14290,20032,42930
25872,35669,74790
98075,2388,99534
82600,16161,60544
80703,5718,53427
96110,92631,44480
26029,60019,57328
6280,38722,36812
51272,10913,87754
77505,69102,23339
70626,53713,29272
91020,76766,35887
16504,31979,60508
20928,75877,74083
69397,90363,55282
9232,89922,50071
25973,66273,90747
24090,85755,62705
66510,69192,83186
1245,78140,72271
63034,87894,27343
50537,68359,62690
11614,14403,90098
22992,63907,76671
4338,47282,59126
9197,5774,80658
53135,2184,34733
52391,33445,72243
7877,62482,92291
76493,29059,94571
60132,12566,58118
3743,52040,42196
9589,51965,11617
50936,99867,53630
81613,12951,46284
76660,71021,40239
82452,69209,22776
65079,5336,41459
51245,96100,26378
90164,15175,47839
4111,69610,9725
24649,82750,65801
4622,28776,20743
45756,67375,3499
37096,25765,98038
42607,30112,21702
61410,31920,82911
21581,44006,4743
89627,11529,36036
16637,43483,17418
56260,83895,78027
17201,2472,809
51876,75346,38978
2095,98295,37991
80318,75496,8439
62884,17321,45047
91842,94892,65972
35285,22800,8778
24456,20876,75262
44646,60607,52681
13035,46744,47165
1159,3262,67085
30197,49589,78534
16247,86145,14537
81747,84218,63103
38328,85071,34477
44227,40261,3621
9786,36946,89582
691,14268,16017
66710,56484,34000
5800,60117,99212
79016,15824,38198
56217,19754,71206
79234,4553,17527
47230,12343,93344
23788,6019,49682
83485,29242,87336
89789,40101,59136
58855,66057,7095
33451,31401,58279
55294,83638,78677
91784,91890,54859
19538,13848,41332
33378,64020,64329
382,52262,46095
83360,53202,19617
59413,17545,27908
27123,34479,74640
32717,73125,92751
19936,27610,34475
45453,23136,43013
50773,71703,28087
28639,19847,75311
87355,8049,15815
34631,45639,84060
22797,91814,69237
19803,65524,82134
59907,44380,20174
50445,168,61854
7653,98972,630
90217,30364,31250
38529,12231,80656
12944,28300,73365
63531,37434,70478
30677,71695,27256
13163,9337,82293
893,92073,5901
11153,5988,10175
36465,32253,46960
77894,36903,12715
88410,70129,6713
12481,80941,9030
49153,84037,57277
52582,1594,82298
72342,41545,1145
54585,88627,22378
72919,42610,29251
45525,19801,54461
66205,18284,92598
87541,74921,34295
14206,30854,52303
79611,58284,95321
61377,33613,56325
7200,68630,4694
42390,16059,80741
11452,84638,74232
55784,93701,90870
18503,63981,364
82042,51802,47934
97515,75085,77896
88904,96524,2900
75691,20537,54237
75222,22633,54486
12192,75765,44569
43216,45410,26923
8752,16991,91630
88141,8877,97384
45139,94143,58162
24857,74483,67467
95570,98739,67017
40727,79024,33935
5112,8637,40535
98465,36167,60780
84855,32426,41603
62471,43910,23799
26652,93665,42696
55758,13956,91854
72660,58533,8151
93258,10070,25620
17366,22675,9434
57124,40027,43098
65489,4524,3590
65213,87069,32250
35770,9167,97904
17503,51047,58326
54091,54973,96300
242,96754,55940
52616,93511,88094
59122,76712,62117
76191,45024,59000
8875,11143,47060
7799,66461,74546
25968,55096,4070
64116,52700,41037
67685,93268,76846
26983,16397,65433
29448,23731,91909
78332,71846,97926
15582,13618,95694
39579,90961,1492
57657,73245,20130
92914,88544,69230
41320,68800,7919
35914,11701,6483
47650,35202,93009
69442,1858,77474
25615,92637,75361
96043,76686,79201
61648,32107,25373
76227,96812,45758
58472,49779,74508
5661,26980,69401
74156,56200,91615
47699,20217,55972
24938,63879,12835
72557,51605,54687
22426,85985,85857
50284,34603,34996
57114,5159,43097
57000,18008,59192
81952,53182,73004
15882,43325,15777
95471,43229,61645
4600,63563,57851
40988,56296,14138
9921,31289,62484
14282,31116,5899
4640,83408,70919
82150,84640,68667
29505,46505,23759
12311,94837,73905
10579,32969,24148
58713,83825,31565
38120,32526,21073
86126,52171,27011
33413,4250,81205
31260,11675,94899
70113,90830,36920
16823,15710,36425
19668,74799,20355
14990,14471,9569
12415,14702,22558
56351,63274,32021
31926,937,49590
66688,95457,13137
47853,56342,40711
83782,96468,72640
74567,83203,29074
5490,59829,23169
27685,10662,24446
68628,91775,1993
25744,65192,91045
35046,47886,29374
7468,70975,9714
74177,63229,83028
8934,97051,33173
93216,16749,51655
5818,11904,61974
21810,59477,21135
35506,54672,77551
55297,92769,31268
28754,16052,4249
23265,67746,27271
80974,24292,73924
19093,94434,47371
90552,96090,87867
44351,73121,25207
90521,51945,20045
95576,57921,77319
76287,90051,62281
55741,52086,41368
98309,96793,35992
62848,84202,63982
50524,71803,66570
36340,66651,4850
55485,88073,72436
38728,53367,2579
63859,22650,13677
46516,70013,32201
94689,55589,38682
18361,15206,90386
35109,34930,85767
73856,60527,34516
76819,13982,86563
67149,97639,89812
56604,50623,33403
56675,128,776
16533,29021,86006
70340,69684,75551
46135,92838,36054
11126,92106,23590
26015,70036,31037
12491,32726,73926
38185,96218,61701
69562,35479,13390
46472,63284,48159
91393,83321,53160
3834,33745,69417
91026,6759,21488
9965,55964,67906
90066,18732,633
21661,27010,52557
31734,81005,67457
32216,96191,13856
19987,30195,82798
97651,99202,78968
83979,81909,53216
32866,39247,58893
71522,21686,47971
80822,23939,66957
67710,33539,85509
2031,30695,66809
30737,87667,16731
21582,57599,45973
19081,85605,15828
30691,60541,47644
42384,2150,41268
23797,41455,4511
85934,59515,17101
32981,64853,198
68673,94159,77978
99662,75869,75700
49603,47424,29601
57502,99468,36046
43532,78406,48443
22606,10096,65878
26310,22689,33902
94855,69317,90559
88784,52382,96419
10111,45309,90986
7540,42768,10550
83103,53282,41102
7488,75991,33314
51152,7782,59321
16953,48255,68206
21264,72355,6903
21130,91960,95077
16264,35453,71652
48874,61520,12955
63525,54425,84188
71567,85203,69651
69729,11332,7295
9440,40741,69405
59909,15562,32112
70203,88723,48516
9086,27425,19006
72578,49005,82160
69813,10943,26736
80542,29944,78188
26694,34328,73612
47902,838,36660
26417,81082,21852
54976,43102,49441
59455,14958,87677
12103,70919,58707
6341,95974,25448
81364,4883,42650
27304,61474,18100
97695,11089,29076
30284,63085,21230
3173,47110,18136
68786,57514,61874
48163,64554,85178
17597,39208,36130
61867,63403,89099
46042,2975,93974
14171,81890,57122
57706,62617,1322
29851,18345,72270
93725,25469,59893
76168,96176,86726
71901,84227,48037
94001,36170,75472
31823,15197,33353
71245,67754,20865
83943,25651,66477
56227,50199,41907
4768,92269,29337
80415,48785,25264
21952,71096,80354
10268,29377,35167
75578,66031,18357
92984,79082,81754
47820,19276,18949
59928,20193,66181
19588,2821,45976
20459,15766,65690
75407,83278,19002
69425,92864,49882
76533,64844,9179
39328,26948,35294
52650,50429,49897
92520,12862,44186
29697,80998,51554
22613,74094,40266
63887,62201,15417
54388,61278,92641
57323,27817,96315
89385,47405,91850
61497,75411,55247
54115,50070,32979
13779,32298,60060
91543,55766,54384
75792,41247,9307
91395,56299,82027
38692,9705,61814
42366,57878,72174
30196,26673,51113
78285,79913,90439
2598,50045,28152
13255,28010,43487
17334,83933,74541
85127,94719,23116
92069,2696,73953
68877,95931,86666
53230,55567,49830
28864,45411,23330
11483,31635,66753
86882,28265,21492
29373,75745,79457
42695,82019,1179
77857,30545,55418
42031,59674,22347
87298,37458,86495
60750,92683,33397
44614,12490,8455
90511,40941,20009
77153,21417,23684
97247,66386,14449
39188,92359,8700
8196,14433,58185
18453,76100,94998
79982,11793,42430
89725,13533,52471
91069,71121,35132
37933,16350,51890
18057,59036,52302
26236,43251,33993
63417,4939,60822
68146,78703,37313
24473,37,52116
54187,74411,99499
69625,63873,92289
12582,37318,18940
61022,42341,49991
53542,45390,94855
87418,78389,48401
50352,30351,49325
71472,74274,52804
83479,11717,9847
86367,48193,10331
79214,79222,58176
36233,15407,83000
77848,57568,92053
98206,82487,50056
66082,30113,3958
90009,93554,45974
96486,26223,77441
58248,53670,59216
4847,72056,89752
39082,89976,46017
42895,30459,57566
99439,43805,61132
42778,13844,24614
41095,166,89060
76512,3449,72863
22709,33381,14493
78981,43287,96871
35263,95213,81131
87244,93483,16314
55353,16218,66498
16283,68754,22445
50785,44621,74707
77569,40747,34664
30741,78538,92909
45832,11843,58741
65632,86569,83585
22031,98776,87891
50438,76761,2490
923,19,95098
24609,46809,69476
71279,47939,39128
8338,2674,62599
66223,7926,49803
5930,62474,93697
85268,68241,73035
50287,86688,73126
12232,91814,21934
59747,29120,38907
43085,49797,27214
24283,52907,77359
75058,19607,90758
49447,15087,87249
26012,44270,27408
77847,63170,33169
68418,64438,6761
14314,60785,30556
92161,42057,86229
56045,5018,97294
20473,77590,13893
69768,41235,37309
63137,63115,45809
82426,83280,14292
90439,91378,140
68885,35855,90031
69472,27750,73358
88571,47600,84529
55743,31387,78851
90957,54301,64642
44696,1872,64642
43035,84400,82175
99792,44395,3564
52922,20408,71552
63829,98036,3763
21670,99549,56240
42201,13794,63786
31292,21903,5867
68041,91277,18663
9864,61449,34460
61720,10008,19094
58018,33773,96591
51847,30257,31725
82539,82672,64398
49072,52286,31145
73472,10383,54179
47360,84273,70899
35088,65779,45124
21211,95891,50581
51043,16059,31530
57128,62710,87276
91561,83970,26858
39457,34756,70066
37759,50966,52094
50268,67515,76434
40318,5588,49856
35616,36428,83994
23959,69776,81515
62620,34939,94450
99358,27182,82709
96824,25991,52210
4888,39221,56076
33533,49622,85621
20606,98465,25321
66071,38966,59674
24012,10703,2570
84944,78964,99346
23505,90507,93539
88913,91400,82623
33096,55433,16952
37211,4117,53560
38489,26161,11306
88174,36088,41021
23682,71221,38859
88830,42162,15014
48379,13735,23865
79720,3203,43347
20374,38736,14697
46695,49346,68029
47325,85737,69649
73526,51174,24075
31158,89312,80850
42463,40687,56035
22725,83371,27214
96801,67375,77218
12609,72243,91460
76289,41039,18931
84208,63119,91605
59132,69472,96569
77971,44856,31417
88448,16721,46532
67351,57828,47013
74480,27113,19708
89401,88957,87341
24082,6102,98067
78738,54371,40818
99886,83158,18418
78691,9738,38565
57621,38958,41617
97288,61114,40398
26407,35719,92207
16082,42704,90958
17549,85827,79127
26722,18714,66407
